conf,runNr,tapo_baseline_energy,tapo_total_relative_energy,tapo_total_absolute_energy,simpipe_total_energy,simpipe_duration
conf-1,run1,0.016907936507936507,0.27726607142857135,0.9028597222222222,0.38455800000000007,12254.0
conf-1,run2,0.016983085808580857,0.25411014851485153,0.9504166666666667,0.385407,12486.0
conf-1,run3,0.016998341625207296,0.2994185820895523,0.9283572222222223,0.38605999999999996,12215.0
conf-1,run4,0.01734328358208955,0.2971112064676617,1.0081858333333333,0.385778,12211.0
conf-2,run1,0.01709380032206119,0.34918076489533023,1.0329327777777777,0.36331399999999997,11959.0
conf-2,run2,0.017001237623762377,0.3304904950495049,1.01054,0.360466,11959.0
conf-2,run3,0.01888118811881188,0.2206244499449945,0.9003472222222222,0.362824,11959.0
conf-2,run4,0.016829228243021344,0.3150475369458128,0.9882166666666666,0.367793,12170.0
conf-3,run1,0.017049368088467614,0.27777055423907315,0.9597452777777778,0.38333,11829.0
conf-3,run2,0.019219734660033166,0.19543822553897183,0.79125,0.385008,11811.0
conf-3,run3,0.016924055829228245,0.30224232348111646,0.9115083333333333,0.38663700000000006,12144.0
conf-3,run4,0.017402155887230514,0.25891098673300167,0.9549972222222223,0.390255,11886.0
conf-4,run1,0.017167491749174917,0.14353489548954895,0.5040522222222222,0.275284,7263.0
conf-4,run2,0.016924565560821486,0.09937717877830432,0.45479305555555555,0.273685,7166.0
conf-4,run3,0.017009803921568627,0.07481189542483657,0.43201777777777783,0.273669,7191.0
conf-4,run4,0.016940251572327043,0.14089916142557654,0.49664444444444444,0.273752,7196.0
conf-5,run1,0.016957165109034267,0.13259306853582553,0.8787083333333333,0.284895,15811.0
conf-5,run2,0.016909557661927328,0.1210061295418642,0.8650266666666664,0.28523200000000004,15852.0
conf-5,run3,0.017095693779904303,0.1403236403508773,0.8925341666666666,0.28404,15789.0
conf-5,run4,0.01695190713101161,0.13173501243781083,0.8945708333333332,0.285119,16154.0
conf-6,run1,0.017065079365079366,0.0716555555555555,0.43002222222222225,0.28342,7089.0
conf-6,run2,0.016935897435897435,0.08309871794871795,0.42181666666666673,0.28268899999999997,6977.0
conf-6,run3,0.01698102310231023,0.09017877887788776,0.4977233333333334,0.283134,7048.0
conf-6,run4,0.016900563607085344,0.07576233896940422,0.4137736111111111,0.28268599999999994,6973.0
