conf,tapo_baseline_energy_avg,tapo_baseline_energy_std,tapo_absolute_energy_avg,tapo_absolute_energy_std,tapo_relative_energy_avg,tapo_relative_energy_std,simpipe_energy_avg,simpipe_energy_std,simpipe_duration_avg,simpipe_duration_std
conf-1,0.017058161880953552,0.0001681345642612294,0.9474548611111111,0.03889238197531406,0.28197650212515923,0.018248337252345155,0.38545075,0.0005650652064142326,12291.5,113.54404431761272
conf-2,0.017451363576914198,0.0008309505775334659,0.9830091666666666,0.05027531413623303,0.3038358117089106,0.049539051345527024,0.36359925,0.0026498667301394535,12011.75,91.36568009925827
conf-3,0.017648828616239884,0.0009237480379969444,0.9043752083333334,0.06796437874573555,0.25859052249804076,0.03956535307306562,0.3863075,0.0025615197149348725,11917.5,133.66843307228524
conf-4,0.01701052820097302,9.613331899041488e-05,0.47187687500000003,0.029703913812984643,0.11465578277956659,0.028912320788193044,0.2740975,0.0006857333665499903,7204.0,35.90960874195095
conf-5,0.016978580920469378,7.00888009746364e-05,0.8827099999999999,0.011894402380368367,0.13141446271659446,0.006877476088586083,0.28482150000000006,0.0004672154214064479,15901.5,147.5237269051999
conf-6,0.016970640877593094,6.153118943155575e-05,0.4408339583333334,0.03334371904778033,0.08017384783789136,0.0070830117920333445,0.28298225,0.00031161384356285404,7021.75,48.96618731328793
