# [run-4] base1 / conf1 - NHRF data for pipeline steps: Step, Step Name, Duration(s), CO2(g), Energy(kwh)
1, "trimming", 1935, 4.653, 0.058780
2, "alignment", 8611, 25.138, 0.317565
3, "mark-duplicates", 2146, 1.941
4, "create-fasta-index", 57, 0.003, 0.000037
5, "create-fasta-dict", 73, 0.013, 0.000162
6, "base-quality-score", 203, 0.012, 0.000155

