# [run-1] base2/conf2 - NHRF data for pipeline steps: Step, Step Name, Duration, CO2(g), Energy(kwh)
1, "trimming", 1665, 3.704, 0.046797
2, "alignment", 9886, 26.346, 0.332826
3, "mark-duplicates", 1860, 1.996, 0.025217
4, "create-fasta-index", 53, 0.005, 0.000069
5, "create-fasta-dict", 47, 0.004, 0.000043
6, "base-quality-score", 179, 0.014, 0.000165
