# run2 - conf-5
step  start   stop    duration    co2 energy  status  output
trimming	2025-08-27T14:41:59Z	2025-08-27T15:26:47Z	2688	1.440	0.047870	Succeeded	trimming-results*
alignment	2025-08-27T15:26:57Z	2025-08-27T18:40:55Z	11638	6.601	0.219464	Succeeded	alignment-results*
mark-duplicates	2025-08-27T18:41:05Z	2025-08-27T19:05:43Z	1478	0.488	0.016233	Succeeded	mark-duplicates-results*
create-fasta-index	2025-08-27T19:05:53Z	2025-08-27T19:07:04Z	71	0.007	0.000235	Succeeded	fasta-index*
base-quality-score	2025-08-27T19:07:14Z	2025-08-27T19:09:44Z	150	0.009	0.000308	Succeeded	final-results*
