# run4 - conf-3
step  start   stop    duration    co2 energy  status  output
trimming	2025-09-03T13:30:45Z	2025-09-03T13:55:12Z	1467	1.281	0.042574	Succeeded	trimming-results*
alignment-bwa	2025-09-03T13:55:22Z	2025-09-03T16:20:11Z	8689	9.655	0.320980	Succeeded	alignment-results*
mark-duplicates	2025-09-03T16:20:21Z	2025-09-03T16:43:36Z	1395	0.643	0.021373	Succeeded	mark-duplicates-results*
create-fasta-dict	2025-09-03T16:43:46Z	2025-09-03T16:44:44Z	58	0.005	0.000159	Succeeded	fasta-dict*
create-fasta-index	2025-09-03T16:44:54Z	2025-09-03T16:45:47Z	53	0.003	0.000092	Succeeded	fasta-index*
base-quality-score	2025-09-03T16:45:57Z	2025-09-03T16:48:53Z	176	-	-	Succeeded	final-results*

