# run3 - conf-4
step  start   stop    duration    co2 energy  status  output
trimming	2025-08-30T08:19:09Z	2025-08-30T08:38:26Z	1157	1.211	0.040249	Succeeded	trimming-results*
alignment	2025-08-30T08:38:36Z	2025-08-30T09:52:29Z	4433	6.512	0.216503	Succeeded	alignment-results*
mark-duplicates	2025-08-30T09:52:39Z	2025-08-30T10:15:48Z	1389	0.492	0.016358	Succeeded	mark-duplicates-results*
create-fasta-index	2025-08-30T10:15:58Z	2025-08-30T10:17:02Z	64	0.006	0.000209	Succeeded	fasta-index*
base-quality-score	2025-08-30T10:17:12Z	2025-08-30T10:19:40Z	148	0.011	0.000350	Succeeded	final-results*
