# run1 - conf-1
step  start   stop    duration    co2 energy  status  output
trimming	2025-09-01T06:21:04Z	2025-09-01T06:45:14Z	1450	1.276	0.042412	Succeeded	trimming-results*
alignment-bwa	2025-09-01T06:45:24Z	2025-09-01T09:10:16Z	8692	9.585	0.318651	Succeeded	alignment-results*
mark-duplicates	2025-09-01T09:10:26Z	2025-09-01T09:40:40Z	1814	0.688	0.022857	Succeeded	mark-duplicates-results*
create-fasta-dict	2025-09-01T09:40:50Z	2025-09-01T09:42:00Z	70	0.008	0.000259	Succeeded	fasta-dict*
create-fasta-index	2025-09-01T09:42:09Z	2025-09-01T09:42:58Z	49	0.002	0.000080	Succeeded	fasta-index*
base-quality-score	2025-09-01T09:43:08Z	2025-09-01T09:46:07Z	179	0.009	0.000299	Succeeded	final-results*

