# run2 - conf-6
step  start   stop    duration    co2 energy  status  output
create-fasta-dict	2025-08-26T16:46:10Z	2025-08-26T16:47:07Z	57	0.005	0.000151	Succeeded	fasta-dict*
create-fasta-index	2025-08-26T16:47:17Z	2025-08-26T16:48:08Z	51	0.003	0.000092	Succeeded	fasta-index*
trimming	2025-08-26T16:48:18Z	2025-08-26T17:07:47Z	1169	1.215	0.040393	Succeeded	trimming-results*
alignment	2025-08-26T17:07:57Z	2025-08-26T18:17:14Z	4157	6.619	0.220032	Succeeded	alignment-results*
mark-duplicates	2025-08-26T18:17:24Z	2025-08-26T18:40:52Z	1408	0.614	0.020410	Succeeded	mark-duplicates-results*
base-quality-score	2025-08-26T18:41:02Z	2025-08-26T18:43:15Z	133	0.005	0.000175	Succeeded	final-results*
