# run4 - conf-3
step  start   stop    duration    co2 energy  status  output
create-fasta-index	2025-09-09T21:11:27Z	2025-09-09T21:12:23Z	56	0.001	0.000043	Succeeded	fasta-index*
trimming	2025-09-09T21:12:33Z	2025-09-09T21:36:24Z	1431	1.268	0.042159	Succeeded	trimming-results*
alignment-bwa	2025-09-09T21:36:33Z	2025-09-10T00:02:44Z	8771	9.801	0.325833	Succeeded	alignment-results*
mark-duplicates	2025-09-10T00:02:54Z	2025-09-10T00:26:27Z	1413	0.654	0.021725	Succeeded	mark-duplicates-results*
create-fasta-dict	2025-09-10T00:26:37Z	2025-09-10T00:27:34Z	57	0.004	0.000143	Succeeded	fasta-dict*
base-quality-score	2025-09-10T00:27:44Z	2025-09-10T00:30:22Z	158	0.011	0.000352	Succeeded	final-results*

